io_uring_register(fd=299, opcode=0x3, arg=0x7f39777cc000, nr_args=0xa5a5a5a5) = -1 (Operation not supported)
io_uring_register(fd=299, opcode=0x3, arg=0x7f39779d0000, nr_args=1) = -1 (Operation not supported)
io_uring_register(fd=326, opcode=0x3, arg=0x7f3977fd0000, nr_args=128) = -1 (Operation not supported)
io_uring_register(fd=326, opcode=0x3, arg=0x0, nr_args=0x1400cece) = -1 (Operation not supported)
io_uring_register(fd=326, opcode=0x3, arg=0x0, nr_args=0x1000102418) = -1 (Operation not supported)
io_uring_register(fd=326, opcode=0x3, arg=0x7f39777cd000, nr_args=104) = -1 (Operation not supported)
io_uring_register(fd=326, opcode=0x3, arg=0x0, nr_args=0x70707070) = -1 (Operation not supported)
io_uring_register(fd=282, opcode=0x3, arg=0x4, nr_args=-5) = -1 (Operation not supported)
io_uring_register(fd=282, opcode=0x3, arg=0x7f39777cc000, nr_args=1) = -1 (Operation not supported)
io_uring_register(fd=282, opcode=0x3, arg=0x0, nr_args=0) = -1 (Operation not supported)
io_uring_register(fd=293, opcode=0x3, arg=0x0, nr_args=0xffffe000) = -1 (Operation not supported)
io_uring_register(fd=293, opcode=0x3, arg=0x1, nr_args=32) = -1 (Operation not supported)
io_uring_register(fd=293, opcode=0x3, arg=0x1, nr_args=0x4774fc2c112044cb) = -1 (Operation not supported)
io_uring_register(fd=293, opcode=0x3, arg=0x0, nr_args=8) = -1 (Operation not supported)
io_uring_register(fd=293, opcode=0x3, arg=0x0, nr_args=64) = -1 (Operation not supported)
io_uring_register(fd=10, opcode=0x3, arg=0x7f39779d0000, nr_args=140) = -1 (Operation not supported)
io_uring_register(fd=10, opcode=0x3, arg=0x7f39779d0000, nr_args=0x20001000000) = -1 (Operation not supported)
io_uring_register(fd=10, opcode=0x3, arg=0x0, nr_args=-5) = -1 (Operation not supported)
io_uring_register(fd=10, opcode=0x3, arg=0x1, nr_args=0xffd4) = -1 (Operation not supported)
io_uring_register(fd=10, opcode=0x3, arg=0x1, nr_args=189) = -1 (Operation not supported)
io_uring_register(fd=10, opcode=0x3, arg=0x7f39779d0000, nr_args=67) = -1 (Operation not supported)
io_uring_register(fd=354, opcode=0x3, arg=0x7f39777cc000, nr_args=16384) = -1 (Operation not supported)
io_uring_register(fd=354, opcode=0x3, arg=0x7f3977fd0000, nr_args=0x4000000) = -1 (Operation not supported)
io_uring_register(fd=354, opcode=0x3, arg=0x7f39798da000, nr_args=213) = -1 (Operation not supported)
io_uring_register(fd=354, opcode=0x3, arg=0x7f39777d0000, nr_args=0xfff7) = -1 (Operation not supported)
io_uring_register(fd=354, opcode=0x3, arg=0x7f39777d0000, nr_args=0x90909090) = -1 (Operation not supported)
io_uring_register(fd=397, opcode=0x3, arg=0x7f3977fd0000, nr_args=0x4a8ca003c24241) = -1 (Operation not supported)
io_uring_register(fd=397, opcode=0x3, arg=0x7f3977bd0000, nr_args=-10) = -1 (Operation not supported)
io_uring_register(fd=392, opcode=0x3, arg=0x7f39777cd000, nr_args=0xbf22fdf387) = -1 (Operation not supported)
io_uring_register(fd=392, opcode=0x3, arg=0x7f39777d0000, nr_args=0xdbdb) = -1 (Operation not supported)
io_uring_register(fd=392, opcode=0x3, arg=0x0, nr_args=0x9000002) = -1 (Operation not supported)
io_uring_register(fd=392, opcode=0x3, arg=0x7f39779d0000, nr_args=1) = -1 (Operation not supported)
io_uring_register(fd=392, opcode=0x3, arg=0x1, nr_args=16) = -1 (Operation not supported)
io_uring_register(fd=293, opcode=0x3, arg=0x4, nr_args=0x18800181010000) = -1 (Operation not supported)
io_uring_register(fd=293, opcode=0x3, arg=0x0, nr_args=0x7e7e7e7e) = -1 (Operation not supported)
io_uring_register(fd=293, opcode=0x3, arg=0x0, nr_args=0x800004000000) = -1 (Operation not supported)
io_uring_register(fd=27, opcode=0x3, arg=0x8, nr_args=0xf802e20) = -1 (Operation not supported)
io_uring_register(fd=27, opcode=0x3, arg=0x7f3977bd0000, nr_args=256) = -1 (Operation not supported)
io_uring_register(fd=30, opcode=0x3, arg=0x7f3977dd0000, nr_args=4096) = -1 (Operation not supported)
io_uring_register(fd=30, opcode=0x3, arg=0x7f3977bd0000, nr_args=-3) = -1 (Operation not supported)
io_uring_register(fd=30, opcode=0x3, arg=0x0, nr_args=-1) = -1 (Operation not supported)
io_uring_register(fd=30, opcode=0x3, arg=0x1, nr_args=0xba552a9ac0) = -1 (Operation not supported)
io_uring_register(fd=30, opcode=0x3, arg=0x7f3977dd0000, nr_args=0xfffffff9) = -1 (Operation not supported)
io_uring_register(fd=30, opcode=0x3, arg=0x7f39779d0000, nr_args=202) = -1 (Operation not supported)
io_uring_register(fd=28, opcode=0x3, arg=0x8, nr_args=0x80808080) = -1 (Operation not supported)
io_uring_register(fd=28, opcode=0x3, arg=0x7f3977fd0000, nr_args=0x40000000) = -1 (Operation not supported)
io_uring_register(fd=28, opcode=0x3, arg=0x7f39779d0000, nr_args=4080) = -1 (Operation not supported)
io_uring_register(fd=28, opcode=0x3, arg=0x8, nr_args=0xfff8) = -1 (Operation not supported)
io_uring_register(fd=28, opcode=0x3, arg=0x1, nr_args=0xffca) = -1 (Operation not supported)
io_uring_register(fd=10, opcode=0x4, arg=0x1, nr_args=8192) = -1 (Operation not supported)
io_uring_register(fd=10, opcode=0x4, arg=0x0, nr_args=-10) = -1 (Operation not supported)
io_uring_register(fd=10, opcode=0x4, arg=0x0, nr_args=0xffffff6d4d7eb89f) = -1 (Operation not supported)
io_uring_register(fd=10, opcode=0x4, arg=0x1, nr_args=0x20600040400084) = -1 (Operation not supported)
io_uring_register(fd=10, opcode=0x4, arg=0x0, nr_args=102) = -1 (Operation not supported)
io_uring_register(fd=10, opcode=0x4, arg=0x1, nr_args=0x26262626) = -1 (Operation not supported)
io_uring_register(fd=10, opcode=0x4, arg=0x0, nr_args=0xffffff770cffffde) = -1 (Operation not supported)
io_uring_register(fd=10, opcode=0x4, arg=0x1, nr_args=0xffffffff8ed84faf) = -1 (Operation not supported)
