fsetxattr(fd=384, name=0x8, value=0x7fe8fddfa000, size=0x6ab96a, flags=0x3) = -1 (Bad address)
fsetxattr(fd=284, name=0x7fe8ffb02000, value=0x7fe8ffb02008, size=-4097, flags=0x3) = -1 (Numerical result out of range)
fsetxattr(fd=284, name=0x4, value=0x7fe8fddfa000, size=1, flags=0x3) = -1 (Bad address)
fsetxattr(fd=284, name=0x7fe8fd9f9000, value=0x7fe8fd9f6000, size=4086, flags=0x3) = -1 (Numerical result out of range)
fsetxattr(fd=290, name=0x7fe8fe0fa000, value=0x7fe8fdbfa000, size=8, flags=0x3) = -1 (Numerical result out of range)
fsetxattr(fd=290, name=0x7fe8fddfa000, value=0x7fe8fd9f7000, size=1, flags=0x3) = -1 (Numerical result out of range)
fsetxattr(fd=290, name=0x1, value=0x5, size=0, flags=0x3) = -1 (Bad address)
fsetxattr(fd=290, name=0x0, value=0x7fe8fddfa000, size=1, flags=0x3) = -1 (Bad address)
fsetxattr(fd=290, name=0x7fe8fdbfa000, value=0x7fe8fdbfa004, size=0, flags=0x3) = -1 (Numerical result out of range)
fsetxattr(fd=294, name=0x7fe8fd9fa000, value=0x7fe8fdbfa000, size=1, flags=0x3) = -1 (Numerical result out of range)
fsetxattr(fd=294, name=0x7fe8fddfa000, value=0x7fe8fddfa001, size=-2, flags=0x3) = -1 (Numerical result out of range)
fsetxattr(fd=294, name=0x8, value=0x10, size=0xfff7e00, flags=0x3) = -1 (Bad address)
fsetxattr(fd=294, name=0x7fe8fd9fa000, value=0x0, size=4096, flags=0x3) = -1 (Numerical result out of range)
fsetxattr(fd=294, name=0x4, value=0x7fe8fd9fa000, size=15359, flags=0x3) = -1 (Bad address)
fsetxattr(fd=24, name=0x0, value=0x7fe8fddfa000, size=0x618000, flags=0x3) = -1 (Bad address)
fsetxattr(fd=24, name=0x8, value=0x7fe8fd9fa000, size=0x2aa050, flags=0x3) = -1 (Bad address)
fsetxattr(fd=24, name=0x1, value=0x7fe8fd9f9000, size=96, flags=0x3) = -1 (Bad address)
fsetxattr(fd=231, name=0x8, value=0x7fe8fd9f5000, size=4096, flags=0x3) = -1 (Read-only file system)
fsetxattr(fd=231, name=0x1, value=0x9, size=8, flags=0x3) = -1 (Read-only file system)
