msgctl(msqid=0x20000, cmd=0x2, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=7, cmd=0x2, buf=0x7fa31567e000) = -1 (Invalid argument)
msgctl(msqid=33, cmd=0x2, buf=0x7fa317388000) = -1 (Invalid argument)
msgctl(msqid=0xf6f6f6f6, cmd=0x2, buf=0x7fa315279000) = -1 (Invalid argument)
msgctl(msqid=1, cmd=0x2, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=0x400000, cmd=0x2, buf=0x7fa315279000) = -1 (Invalid argument)
msgctl(msqid=0x80000, cmd=0x2, buf=0x7fa315279000) = -1 (Invalid argument)
msgctl(msqid=0x33333333, cmd=0x2, buf=0x7fa31527a000) = -1 (Invalid argument)
msgctl(msqid=53, cmd=0x2, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=72, cmd=0x2, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=3877, cmd=0x2, buf=0x7fa31527d000) = -1 (Invalid argument)
msgctl(msqid=0x7247b9f7d76f5c2, cmd=0x2, buf=0x7fa315279000) = -1 (Invalid argument)
msgctl(msqid=255, cmd=0x2, buf=0x7fa31547e000) = -1 (Invalid argument)
msgctl(msqid=0xff00000, cmd=0x2, buf=0x7fa31527a000) = -1 (Invalid argument)
msgctl(msqid=0xcbcb, cmd=0x2, buf=0x7fa317386000) = -1 (Invalid argument)
msgctl(msqid=84, cmd=0x2, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=0xc5c5c5c5, cmd=0x2, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0xe8e8e8e8, cmd=0x2, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=0x4dea, cmd=0x2, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=0x7000, cmd=0x2, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0, cmd=0x2, buf=0x7fa31597e000) = 0
msgctl(msqid=256, cmd=0x1, buf=0x7fa31547e000) = -1 (Invalid argument)
msgctl(msqid=0xfdfdfdfd, cmd=0x1, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0x8000000, cmd=0x1, buf=0x1) = -1 (Bad address)
msgctl(msqid=0x36d3550a, cmd=0x1, buf=0x7fa31547e000) = -1 (Invalid argument)
msgctl(msqid=214, cmd=0x1, buf=0x4) = -1 (Bad address)
msgctl(msqid=0x18000000, cmd=0x1, buf=0x7fa31527e000) = -1 (Invalid argument)
msgctl(msqid=0x8420c806224480, cmd=0x1, buf=0x7fa31547e000) = -1 (Invalid argument)
msgctl(msqid=0, cmd=0x1, buf=0x0) = -1 (Bad address)
msgctl(msqid=0, cmd=0x1, buf=0x4) = -1 (Bad address)
msgctl(msqid=0x40000ff, cmd=0x1, buf=0x4) = -1 (Bad address)
msgctl(msqid=-3, cmd=0x1, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=0xfffa, cmd=0x1, buf=0x8) = -1 (Bad address)
msgctl(msqid=0x8200a0200, cmd=0x1, buf=0x7fa31527a000) = -1 (Invalid argument)
msgctl(msqid=0xd2d2d2d2, cmd=0x1, buf=0x7fa315279000) = -1 (Invalid argument)
msgctl(msqid=1024, cmd=0x1, buf=0x1) = -1 (Bad address)
msgctl(msqid=0xa6a6a6a6, cmd=0x1, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=-7, cmd=0x1, buf=0x7fa31527a000) = -1 (Invalid argument)
msgctl(msqid=4, cmd=0x1, buf=0x4) = -1 (Bad address)
msgctl(msqid=0x4102291ae9, cmd=0x1, buf=0x4) = -1 (Bad address)
msgctl(msqid=0, cmd=0x1, buf=0x7fa317388000) = 0
msgctl(msqid=-10, cmd=0x0, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0x688e6b512d414d, cmd=0x0, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=-121, cmd=0x0, buf=0x7fa31527e000) = -1 (Invalid argument)
msgctl(msqid=0x410000ee, cmd=0x0, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=221, cmd=0x0, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=0xd5d5d5d5, cmd=0x0, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=0xffffffdbfefffffd, cmd=0x0, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0xffffe000, cmd=0x0, buf=0x7fa31547e000) = -1 (Invalid argument)
msgctl(msqid=-10, cmd=0x0, buf=0x7fa31527d000) = -1 (Invalid argument)
msgctl(msqid=0x10000000, cmd=0x0, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0x766755237a, cmd=0x0, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=0x77777777, cmd=0x0, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0xffffffffffff0007, cmd=0x0, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=1, cmd=0x0, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=64, cmd=0x0, buf=0x7fa315279000) = -1 (Invalid argument)
msgctl(msqid=0, cmd=0x0, buf=0x0) = 0
msgctl(msqid=1024, cmd=0x3, buf=0x4) = -1 (Bad address)
msgctl(msqid=-2, cmd=0x3, buf=0x7fa317388000) = -1 (Invalid argument)
msgctl(msqid=91, cmd=0x3, buf=0x0) = -1 (Bad address)
msgctl(msqid=-5, cmd=0x3, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=4080, cmd=0x3, buf=0x7fa31527c000) = 0
msgctl(msqid=0xf6f6f6f6, cmd=0xc, buf=0x7fa31597e000) = -1 (Invalid argument)
msgctl(msqid=0x463d661eae41af, cmd=0xc, buf=0x1) = -1 (Bad address)
msgctl(msqid=0xd36b6000, cmd=0xc, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=160, cmd=0xc, buf=0x1) = -1 (Bad address)
msgctl(msqid=0xf7f7f7f7, cmd=0xc, buf=0x7fa31567e000) = -1 (Invalid argument)
msgctl(msqid=0x200000, cmd=0xc, buf=0x7fa31597e000) = 0
msgctl(msqid=-1, cmd=0xb, buf=0x7fa31587e000) = -1 (Invalid argument)
msgctl(msqid=54, cmd=0xb, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=0xeaeaeaea, cmd=0xb, buf=0x7fa31527c000) = -1 (Invalid argument)
msgctl(msqid=0x20000430, cmd=0xb, buf=0x7fa317386000) = -1 (Invalid argument)
msgctl(msqid=0, cmd=0xb, buf=0x7fa31547e000) = -1 (Invalid argument)
msgctl(msqid=64, cmd=0xb, buf=0x8) = -1 (Invalid argument)
