epoll_ctl(epfd=410, op=0x3, fd=410, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=410, op=0x3, fd=410, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=357, op=0x3, fd=390, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=14, op=0x3, fd=291, event=0x55cdb3baa170) = -1 (No such file or directory)
epoll_ctl(epfd=14, op=0x3, fd=284, event=0x55cdb3baa170) = -1 (No such file or directory)
epoll_ctl(epfd=14, op=0x3, fd=14, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=8, op=0x3, fd=6, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=8, op=0x3, fd=19, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=8, op=0x3, fd=380, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=322, op=0x3, fd=408, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=302, op=0x3, fd=293, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=302, op=0x3, fd=286, event=0x55cdb3baa170) = -1 (Operation not permitted)
epoll_ctl(epfd=301, op=0x3, fd=285, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=301, op=0x3, fd=306, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=300, op=0x3, fd=300, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=300, op=0x3, fd=12, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=12, op=0x3, fd=399, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=12, op=0x3, fd=12, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=305, op=0x3, fd=305, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=305, op=0x3, fd=24, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=12, op=0x3, fd=305, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=12, op=0x3, fd=12, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=289, op=0x3, fd=289, event=0x55cdb3baa170) = -1 (Operation not permitted)
epoll_ctl(epfd=289, op=0x3, fd=289, event=0x55cdb3baa170) = -1 (Operation not permitted)
epoll_ctl(epfd=127, op=0x3, fd=127, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=298, op=0x3, fd=406, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=13, op=0x3, fd=13, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=13, op=0x3, fd=13, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=37, op=0x3, fd=394, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=9, op=0x3, fd=9, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=334, op=0x3, fd=260, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=334, op=0x3, fd=272, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=334, op=0x3, fd=26, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=26, op=0x3, fd=26, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=281, op=0x3, fd=373, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=281, op=0x3, fd=8, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=8, op=0x3, fd=406, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=289, op=0x3, fd=405, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=289, op=0x3, fd=283, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=21, op=0x2, fd=21, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=21, op=0x2, fd=283, event=0x55cdb3baa170) = -1 (No such file or directory)
epoll_ctl(epfd=350, op=0x2, fd=377, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=350, op=0x2, fd=12, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=12, op=0x2, fd=294, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=12, op=0x2, fd=10, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=15, op=0x2, fd=15, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=239, op=0x2, fd=396, event=0x55cdb3baa170) = -1 (Bad file descriptor)
epoll_ctl(epfd=239, op=0x2, fd=239, event=0x55cdb3baa170) = -1 (Bad file descriptor)
epoll_ctl(epfd=14, op=0x2, fd=25, event=0x55cdb3baa170) = -1 (No such file or directory)
epoll_ctl(epfd=14, op=0x2, fd=14, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=16, op=0x2, fd=304, event=0x55cdb3baa170) = -1 (No such file or directory)
epoll_ctl(epfd=16, op=0x2, fd=16, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=288, op=0x2, fd=399, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=399, op=0x2, fd=14, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=14, op=0x2, fd=14, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=14, op=0x2, fd=30, event=0x55cdb3baa170) = -1 (No such file or directory)
epoll_ctl(epfd=346, op=0x2, fd=284, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=6, op=0x2, fd=6, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=6, op=0x2, fd=6, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=298, op=0x2, fd=8, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=398, op=0x2, fd=398, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=398, op=0x2, fd=25, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=25, op=0x2, fd=25, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=25, op=0x2, fd=403, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=403, op=0x2, fd=287, event=0x55cdb3baa170) = -1 (Operation not permitted)
epoll_ctl(epfd=286, op=0x2, fd=286, event=0x55cdb3baa170) = -1 (Operation not permitted)
epoll_ctl(epfd=18, op=0x2, fd=6, event=0x55cdb3baa170) = -1 (No such file or directory)
epoll_ctl(epfd=360, op=0x2, fd=360, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=360, op=0x2, fd=360, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=297, op=0x2, fd=297, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=407, op=0x2, fd=407, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=388, op=0x2, fd=388, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=388, op=0x2, fd=287, event=0x55cdb3baa170) = -1 (Operation not permitted)
epoll_ctl(epfd=379, op=0x2, fd=290, event=0x55cdb3baa170) = -1 (Operation not permitted)
epoll_ctl(epfd=379, op=0x2, fd=379, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=408, op=0x2, fd=290, event=0x55cdb3baa170) = -1 (Operation not permitted)
epoll_ctl(epfd=11, op=0x2, fd=14, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=11, op=0x2, fd=297, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=13, op=0x2, fd=13, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=13, op=0x2, fd=21, event=0x55cdb3baa170) = -1 (No such file or directory)
epoll_ctl(epfd=21, op=0x2, fd=224, event=0x55cdb3baa170) = -1 (No such file or directory)
epoll_ctl(epfd=21, op=0x2, fd=302, event=0x55cdb3baa170) = -1 (No such file or directory)
epoll_ctl(epfd=302, op=0x2, fd=302, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=307, op=0x2, fd=307, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=364, op=0x2, fd=364, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=8, op=0x2, fd=392, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=8, op=0x2, fd=25, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=8, op=0x2, fd=406, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=284, op=0x2, fd=284, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=292, op=0x2, fd=405, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=390, op=0x0, fd=11, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=262, op=0x1, fd=262, event=0x556ba8ecc190) = -1 (Operation not permitted)
epoll_ctl(epfd=112, op=0x1, fd=112, event=0x556ba8ecbf30) = -1 (Bad file descriptor)
