futex_waitv(waiters=0x48e5051710be2080, nr_futexes=0x28282828, flags=0, timeout=0x1020045a, clockid=0x800000) = -1 (Function not implemented)
futex_waitv(waiters=0xffffffffec56f000, nr_futexes=1, flags=0, timeout=0x440800000, clockid=-141) = -1 (Function not implemented)
futex_waitv(waiters=0x3cf19b9b032ba078, nr_futexes=0x1c1c1c1c, flags=0, timeout=0xfffffff9, clockid=0x8000112240) = -1 (Function not implemented)
futex_waitv(waiters=0x80000000, nr_futexes=0xffffffb2, flags=0, timeout=0x8022c022180192, clockid=-7) = -1 (Function not implemented)
futex_waitv(waiters=-4, nr_futexes=0xdcdcdcdc, flags=0, timeout=0x2daa8c32a95a200, clockid=0) = -1 (Function not implemented)
futex_waitv(waiters=0x84848484, nr_futexes=0x414141, flags=0, timeout=0xffffffa6, clockid=0x220002080e004) = -1 (Function not implemented)
futex_waitv(waiters=0x1c4c77da7efe5812, nr_futexes=0xa23b93e54b, flags=0, timeout=2, clockid=0x15151515) = -1 (Function not implemented)
futex_waitv(waiters=0xfffffffeeb7ffe00, nr_futexes=206, flags=0, timeout=0xb314aafdf2, clockid=255) = -1 (Function not implemented)
futex_waitv(waiters=85, nr_futexes=-6, flags=0, timeout=0x80000000, clockid=249) = -1 (Function not implemented)
futex_waitv(waiters=-9, nr_futexes=68, flags=0, timeout=0xffff0000, clockid=-129) = -1 (Function not implemented)
futex_waitv(waiters=0x6ade434e351a02d7, nr_futexes=-8, flags=0, timeout=0x80000000, clockid=6939) = -1 (Function not implemented)
futex_waitv(waiters=32, nr_futexes=-75, flags=0, timeout=0xbfbfbfbf, clockid=73) = -1 (Function not implemented)
futex_waitv(waiters=0x58585858, nr_futexes=0x2f2138da21b1, flags=0, timeout=-2, clockid=0x877250d6d4) = -1 (Function not implemented)
futex_waitv(waiters=-10, nr_futexes=-6, flags=0, timeout=244, clockid=0xc37a1d4c25) = -1 (Function not implemented)
futex_waitv(waiters=0xffffe000, nr_futexes=0x3b674e9828f6c30f, flags=0, timeout=0x2020202, clockid=0xfffffffc) = -1 (Function not implemented)
futex_waitv(waiters=89, nr_futexes=0x77777777, flags=0, timeout=240, clockid=0x38008) = -1 (Function not implemented)
futex_waitv(waiters=0xeaeaeaea, nr_futexes=0xfffd, flags=0, timeout=4, clockid=12288) = -1 (Function not implemented)
futex_waitv(waiters=-6, nr_futexes=0x4020001000, flags=0, timeout=112, clockid=8192) = -1 (Function not implemented)
futex_waitv(waiters=2184, nr_futexes=16384, flags=0, timeout=0xe4e4e4e4, clockid=0xffffe000) = -1 (Function not implemented)
futex_waitv(waiters=-2, nr_futexes=4, flags=0, timeout=0xdadadada, clockid=-2) = -1 (Function not implemented)
futex_waitv(waiters=-4, nr_futexes=0xfffffffb, flags=0, timeout=0x76767676, clockid=-4) = -1 (Function not implemented)
futex_waitv(waiters=0xa0005100, nr_futexes=-9, flags=0, timeout=-32, clockid=0x8f8f8f8f) = -1 (Function not implemented)
futex_waitv(waiters=0x8fc749640404af, nr_futexes=0x14141414, flags=0, timeout=1024, clockid=-2) = -1 (Function not implemented)
futex_waitv(waiters=0x27974d750fed, nr_futexes=0xd2c7, flags=0, timeout=0x4080aab20063516e, clockid=255) = -1 (Function not implemented)
