epoll_pwait(epfd=152, events=0x7fb593206000, maxevents=4096, timeout=0x59753d477f6a, sigmask=0xb000, sigsetsize=29) = -1 (Invalid argument)
epoll_pwait(epfd=152, events=0x7fb592e02000, maxevents=0x29430a003210, timeout=125, sigmask=107, sigsetsize=0x10001) = -1 (Invalid argument)
epoll_pwait(epfd=152, events=0x4, maxevents=-3, timeout=2, sigmask=0xab085036, sigsetsize=0x9100) = -1 (Invalid argument)
epoll_pwait(epfd=152, events=0x8, maxevents=-9, timeout=0xffffffff1b1b1b1c, sigmask=0xdbdbdbdb, sigsetsize=0x66666666) = -1 (Invalid argument)
epoll_pwait(epfd=152, events=0x1, maxevents=0x854028906840, timeout=0x4b4b4b4b, sigmask=197, sigsetsize=13) = -1 (Invalid argument)
epoll_pwait(epfd=19, events=0x0, maxevents=0xfffffff7b2cc8dc9, timeout=0x8f8f8f8f, sigmask=255, sigsetsize=0x97969696) = -1 (Invalid argument)
epoll_pwait(epfd=19, events=0x7fb592e02000, maxevents=65, timeout=0x100000, sigmask=-15, sigsetsize=0x273abafa99) = -1 (Invalid argument)
epoll_pwait(epfd=19, events=0x7fb594f10000, maxevents=187, timeout=0x76c230ae08d2, sigmask=-8, sigsetsize=0x6628e025) = -1 (Invalid argument)
epoll_pwait(epfd=19, events=0x1, maxevents=0, timeout=0x8000ffff, sigmask=0x9a8eb000, sigsetsize=316) = -1 (Invalid argument)
epoll_pwait(epfd=19, events=0x1, maxevents=16, timeout=-6, sigmask=2048, sigsetsize=0x10c00002) = -1 (Invalid argument)
epoll_pwait(epfd=19, events=0x7fb593606000, maxevents=0xe06cfffb7a, timeout=8, sigmask=0x5d5d5d5d, sigsetsize=0x43453a52c20c27) = -1 (Invalid argument)
epoll_pwait(epfd=282, events=0x1, maxevents=0x92008000, timeout=0x10000016520, sigmask=0x9eb05e49d391, sigsetsize=52) = -1 (Invalid argument)
epoll_pwait(epfd=7, events=0x0, maxevents=88, timeout=0x40000000, sigmask=0x62f36fc6589c, sigsetsize=0x85858585) = -1 (Invalid argument)
epoll_pwait(epfd=10, events=0x4, maxevents=-10, timeout=0xffff0390b8c4bb45, sigmask=132, sigsetsize=117) = -1 (Invalid argument)
epoll_pwait(epfd=10, events=0x7fd871e7d000, maxevents=117, timeout=0xfffff000, sigmask=-8, sigsetsize=-10) = -1 (Invalid argument)
epoll_pwait(epfd=56, events=0x4, maxevents=69, timeout=800, sigmask=0x7fff0003, sigsetsize=90) = -1 (Invalid argument)
epoll_pwait(epfd=56, events=0x8, maxevents=0x5e05, timeout=0x9090909, sigmask=0xc5c5c5c5, sigsetsize=-5) = -1 (Invalid argument)
epoll_pwait(epfd=56, events=0x1, maxevents=-9, timeout=0xcece, sigmask=164, sigsetsize=0x100000) = -1 (Invalid argument)
epoll_pwait(epfd=56, events=0x0, maxevents=31, timeout=0x2014400200d00, sigmask=129, sigsetsize=0xffffffffabababab) = -1 (Invalid argument)
epoll_pwait(epfd=56, events=0x1, maxevents=0xa40a, timeout=0x15151515, sigmask=135, sigsetsize=0xffff) = -1 (Invalid argument)
epoll_pwait(epfd=289, events=0x0, maxevents=512, timeout=123, sigmask=3019, sigsetsize=0x800000) = -1 (Invalid argument)
epoll_pwait(epfd=289, events=0x0, maxevents=0x4c4c4c4c, timeout=0xfffffffa, sigmask=0xc824934548a, sigsetsize=0x803000002) = -1 (Invalid argument)
epoll_pwait(epfd=289, events=0x7fd87207d000, maxevents=0x80b1208689, timeout=0x91919191, sigmask=0xacecc72b8426e5, sigsetsize=42) = -1 (Invalid argument)
epoll_pwait(epfd=289, events=0x7fd871c7d000, maxevents=0x404000440004, timeout=0xfffffff8, sigmask=-153, sigsetsize=0xffffffff) = -1 (Invalid argument)
epoll_pwait(epfd=289, events=0x1, maxevents=0x444484, timeout=0x1022080a00, sigmask=0x4040404, sigsetsize=0xffffff73) = -1 (Invalid argument)
epoll_pwait(epfd=309, events=0x4, maxevents=0, timeout=32, sigmask=0xfdfdfdfd, sigsetsize=0x80000000) = -1 (Invalid argument)
epoll_pwait(epfd=309, events=0x7fd87237d000, maxevents=8192, timeout=0x250002000e04, sigmask=0, sigsetsize=0x3e3e3e3e) = -1 (Invalid argument)
epoll_pwait(epfd=309, events=0x1, maxevents=0x21500080, timeout=249, sigmask=3239, sigsetsize=0xdadadada) = -1 (Invalid argument)
epoll_pwait(epfd=309, events=0x7fd871c79000, maxevents=-4, timeout=8, sigmask=0, sigsetsize=0xfff9) = -1 (Invalid argument)
epoll_pwait(epfd=309, events=0x7fd871c7a000, maxevents=32, timeout=238, sigmask=0x57575757, sigsetsize=0xffff7bffffeb7e00) = -1 (Invalid argument)
epoll_pwait(epfd=286, events=0x7fd871c7d000, maxevents=0x3000008, timeout=1024, sigmask=0xfffffff9, sigsetsize=104) = -1 (Invalid argument)
epoll_pwait(epfd=286, events=0x0, maxevents=0xfff6, timeout=-3, sigmask=0xffffffff, sigsetsize=0xfffffffa) = -1 (Invalid argument)
epoll_pwait(epfd=27, events=0x4, maxevents=255, timeout=0x80000000, sigmask=85, sigsetsize=0x54545454) = -1 (Invalid argument)
epoll_pwait(epfd=27, events=0x7fd87227d000, maxevents=-7, timeout=0x6cc473ee5b1b, sigmask=0, sigsetsize=0x72e2122e7c16d97b) = -1 (Invalid argument)
epoll_pwait(epfd=27, events=0x7fd871c7a000, maxevents=0xb58d, timeout=0xfffe, sigmask=0x1006483c50, sigsetsize=0) = -1 (Invalid argument)
epoll_pwait(epfd=27, events=0x4, maxevents=4096, timeout=246, sigmask=175, sigsetsize=255) = -1 (Invalid argument)
