futex(uaddr=0x5647d8812ba0, op=0xc, val=200, utime=0x7fe86caea000, uaddr2=0x5647d8812b00, val3=512) = -1 (Invalid argument)
futex(uaddr=0x7fe86caec000, op=0xc, val=8192, utime=0x8, uaddr2=0x7fe86d0ef000, val3=2) = -1 (Invalid argument)
futex(uaddr=0x5647d8812b00, op=0xc, val=0x7fffffff, utime=0x1, uaddr2=0x5647d88127e0, val3=0xf0ad2c4988c3) = -1 (Invalid argument)
futex(uaddr=0x7fe86ceef000, op=0xc, val=0xfff6, utime=0x7fe86caef000, uaddr2=0x7fe86d2ef000, val3=-5) = -1 (Invalid argument)
futex(uaddr=0x7fe86ebf8000, op=0xc, val=0x31313131, utime=0x0, uaddr2=0x7fe86caef000, val3=0x4080000) = -1 (Invalid argument)
futex(uaddr=0x5647d8812a60, op=0xc, val=0x10000, utime=0x7fe86caeb000, uaddr2=0x5647d8812d80, val3=0x200000) = -1 (Invalid argument)
futex(uaddr=0x5647d8812740, op=0xb, val=0, utime=0x7fe86caef000, uaddr2=0x5647d8812c40, val3=255) = -1 (Resource temporarily unavailable)
futex(uaddr=0x7fe86d1ef000, op=0xc, val=0x680cca8168, utime=0x8, uaddr2=0x7fe86caee000, val3=0x42000046) = -1 (Invalid argument)
futex(uaddr=0x7fe86caec000, op=0xc, val=0x2d2d2d2d, utime=0x7fe86caeb000, uaddr2=0x7fe86d2ef000, val3=1) = -1 (Invalid argument)
futex(uaddr=0x7fe86ebf8000, op=0xc, val=120, utime=0x7fe86ceef000, uaddr2=0x7fe86caed000, val3=255) = -1 (Invalid argument)
futex(uaddr=0x5647d8812b00, op=0xb, val=0, utime=0x7fe86caed000, uaddr2=0x5647d8812b00, val3=-2) = -1 (Invalid argument)
futex(uaddr=0x7fe86ebf8000, op=0xc, val=0x676fc9492d0c4f, utime=0x1, uaddr2=0x7fe86ebf7000, val3=0) = -1 (Invalid argument)
futex(uaddr=0x5647d88127e0, op=0x5, val=1, utime=0x8, uaddr2=0x5647d88129c0, val3=3) = 0
futex(uaddr=0x5647d8812d80, op=0xc, val=0x7fffffff, utime=0x7fe86ebf9000, uaddr2=0x5647d8812920, val3=0xb7b7b7b7) = -1 (Invalid argument)
futex(uaddr=0x7fe86caed000, op=0x180, val=0x9090909, utime=0x7fe86ebf7000, uaddr2=0x7fe86ebf8000, val3=0xff37) = -1 (Function not implemented)
futex(uaddr=0x7fe86caec000, op=0x180, val=0x40000000, utime=0x7fe86caef000, uaddr2=0x7fe86d0ef000, val3=151) = -1 (Function not implemented)
futex(uaddr=0x5647d8812c40, op=0x5, val=1, utime=0x7fe86ccef000, uaddr2=0x5647d8812d80, val3=5) = 0
futex(uaddr=0x5647d8812920, op=0x1, val=0x7fffffff, utime=0x7fe86ceef000, uaddr2=0x5647d8812a60, val3=0xffff0000) = 0
futex(uaddr=0x7fe86ceef000, op=0x83, val=16, utime=0x1, uaddr2=0x7fe86d0ef000, val3=16384) = 0
futex(uaddr=0x5647d8812d80, op=0xc, val=0x7fffffff, utime=0x0, uaddr2=0x5647d8812d80, val3=0x208c0b02c000011) = -1 (Invalid argument)
futex(uaddr=0x5647d8812740, op=0x6, val=0x6b4d6e744b34a74f, utime=0x1, uaddr2=0x5647d8812a60, val3=0xffffffffffff4950) = -1 (Bad address)
futex(uaddr=0x7fe86caed000, op=0x84, val=-7, utime=0x4, uaddr2=0x7fe86ceef000, val3=-2) = -1 (Invalid argument)
futex(uaddr=0x7fe86ebf9000, op=0x84, val=0x5858, utime=0x0, uaddr2=0x7fe86ccef000, val3=0xfffffff9) = -1 (Resource temporarily unavailable)
futex(uaddr=0x7fe86ccef000, op=0x84, val=0x42080000100, utime=0x7fe86ccef000, uaddr2=0x7fe86ebf8000, val3=-10) = -1 (Invalid argument)
futex(uaddr=0x7fe86ccef000, op=0x84, val=-107, utime=0x7fe86caeb000, uaddr2=0x7fe86d2ef000, val3=0x478ec4da24262834) = -1 (Invalid argument)
futex(uaddr=0x5647d8812880, op=0x1, val=0x7fffffff, utime=0x4, uaddr2=0x5647d8812ba0, val3=0x8000) = 0
futex(uaddr=0x7fe86caed000, op=0x85, val=0x3e3e3e3e, utime=0x7fe86caea000, uaddr2=0x7fe86caed000, val3=211) = 0
futex(uaddr=0x5647d8812880, op=0x5, val=1, utime=0x1, uaddr2=0x5647d8812d80, val3=5) = 0
futex(uaddr=0x7fe86caee000, op=0x87, val=-3, utime=0x1, uaddr2=0x7fe86ccef000, val3=2670) = -1 (Operation not permitted)
futex(uaddr=0x5647d8812c40, op=0x6, val=0x589d1510700c8710, utime=0x8, uaddr2=0x5647d8812660, val3=70) = -1 (Bad address)
futex(uaddr=0x7fe86ebf9000, op=0x87, val=223, utime=0x7fe86ccef000, uaddr2=0x7fe86ebf9000, val3=128) = -1 (Operation not permitted)
futex(uaddr=0x7fe86caed000, op=0x87, val=0x8000000, utime=0x8, uaddr2=0x7fe86caed000, val3=-8) = -1 (Operation not permitted)
futex(uaddr=0x7fe86d1ef000, op=0x87, val=-3, utime=0x7fe86d1ef000, uaddr2=0x7fe86d1ef000, val3=-2) = -1 (Operation not permitted)
futex(uaddr=0x5647d8812a60, op=0x87, val=1, utime=0x7fe86ccef000, uaddr2=0x5647d8812660, val3=83) = -1 (Operation not permitted)
futex(uaddr=0x5647d8812c40, op=0xc, val=0x7fffffff, utime=0x7fe86ebf9000, uaddr2=0x5647d88129c0, val3=211) = -1 (Invalid argument)
futex(uaddr=0x7fe86d1ef000, op=0x87, val=127, utime=0x1, uaddr2=0x7fe86caed000, val3=0xa2222222) = -1 (Operation not permitted)
futex(uaddr=0x7fe86ebf8000, op=0x87, val=-5, utime=0x7fe86d2ef000, uaddr2=0x7fe86d2ef000, val3=0x100000) = -1 (Operation not permitted)
futex(uaddr=0x5647d88127e0, op=0x5, val=1, utime=0x4, uaddr2=0x5647d8812660, val3=1) = 0
futex(uaddr=0x7fe86ebf8000, op=0x88, val=-8, utime=0x7fe86caea000, uaddr2=0x7fe86d2ef000, val3=69) = 0
futex(uaddr=0x5647d8812880, op=0x10b, val=0, utime=0x1, uaddr2=0x5647d8812880, val3=0x381c05205) = -1 (Bad address)
futex(uaddr=0x7fe86d1ef000, op=0x189, val=0xfffffff7, utime=0x1, uaddr2=0x7fe86caef000, val3=0x6e6e6e6e) = -1 (Bad address)
futex(uaddr=0x7fe86d2ef000, op=0x189, val=0xe0e4e0faf0, utime=0x7fe86caeb000, uaddr2=0x7fe86caec000, val3=0xffff) = -1 (Resource temporarily unavailable)
futex(uaddr=0x7fe86d1ef000, op=0x189, val=128, utime=0x0, uaddr2=0x7fe86d2ef000, val3=-2) = -1 (Resource temporarily unavailable)
futex(uaddr=0x5647d8812920, op=0x5, val=1, utime=0x0, uaddr2=0x5647d8812b00, val3=4) = 0
futex(uaddr=0x5647d8812c40, op=0x6, val=0xc5c55ff1b902, utime=0x1, uaddr2=0x5647d8812ce0, val3=0) = -1 (Bad address)
futex(uaddr=0x7fe86d0ef000, op=0x8a, val=0xff2a, utime=0x0, uaddr2=0x7fe86caef000, val3=0xd0d0) = 0
futex(uaddr=0x5647d8812660, op=0x10b, val=0, utime=0x8, uaddr2=0x5647d8812920, val3=12266) = -1 (Bad address)
futex(uaddr=0x5647d8812880, op=0x10b, val=0, utime=0x7fe86ceef000, uaddr2=0x5647d88129c0, val3=2) = -1 (Connection timed out)
