copy_file_range(fd_in=10, off_in=250, fd_out=286, off_out=64, len=4096, flags=0x5614c4c73996) = -1 (Bad address)
copy_file_range(fd_in=286, off_in=237, fd_out=171, off_out=12431, len=0x4011106a, flags=0x5614c4c73996) = -1 (Bad address)
copy_file_range(fd_in=256, off_in=0xcbd64a, fd_out=148, off_out=0xc1e6, len=0, flags=0x5614c4c73996) = -1 (Bad address)
copy_file_range(fd_in=256, off_in=0, fd_out=19, off_out=0xbdbd, len=0xc0c0, flags=0x5614c4c73996) = -1 (Bad address)
copy_file_range(fd_in=19, off_in=8, fd_out=19, off_out=4, len=4096, flags=0x5614c4c73996) = -1 (Bad address)
copy_file_range(fd_in=19, off_in=8, fd_out=287, off_out=0x4301f426, len=0, flags=0x5614c4c73996) = -1 (Bad address)
copy_file_range(fd_in=403, off_in=0xf2f000, fd_out=403, off_out=15, len=4, flags=0x5614c4c73996) = -1 (Bad address)
copy_file_range(fd_in=403, off_in=1, fd_out=287, off_out=0x58585858, len=8, flags=0x5614c4c73996) = -1 (Bad address)
copy_file_range(fd_in=287, off_in=4096, fd_out=10, off_out=0, len=4, flags=0x5614c4c73996) = -1 (Bad address)
copy_file_range(fd_in=287, off_in=0, fd_out=187, off_out=4, len=0x45cb2, flags=0x5614c4c73996) = -1 (Bad address)
copy_file_range(fd_in=25, off_in=5, fd_out=37, off_out=4093, len=8, flags=0x5614c4c73996) = -1 (Bad address)
copy_file_range(fd_in=25, off_in=0xffffffffedededee, fd_out=25, off_out=4, len=1, flags=0x5614c4c73996) = -1 (Bad address)
copy_file_range(fd_in=25, off_in=0xa200800, fd_out=25, off_out=51, len=8, flags=0x5614c4c73996) = -1 (Bad address)
copy_file_range(fd_in=25, off_in=-4096, fd_out=282, off_out=4, len=0x7fffe, flags=0x5614c4c73996) = -1 (Bad address)
copy_file_range(fd_in=352, off_in=4, fd_out=352, off_out=178, len=0, flags=0x5614c4c73996) = -1 (Bad address)
copy_file_range(fd_in=352, off_in=0, fd_out=307, off_out=67, len=4096, flags=0x5614c4c73996) = -1 (Bad address)
copy_file_range(fd_in=352, off_in=4096, fd_out=7, off_out=4096, len=0x44040, flags=0x5614c4c73996) = -1 (Bad address)
