fgetxattr(fd=8, name=0x7f38639fc000, value=0x7f3863bfd000, size=0xfffffffffc95eac1) = -1 (Numerical result out of range)
fgetxattr(fd=295, name=0x8, value=0x10, size=4) = -1 (Bad address)
fgetxattr(fd=295, name=0x1, value=0x2, size=0) = -1 (Bad address)
fgetxattr(fd=295, name=0x7f3865b07000, value=0x7f3865b07001, size=0x6c3e) = -1 (Numerical result out of range)
fgetxattr(fd=295, name=0x7f38641fd000, value=0x7f38641fd008, size=8) = -1 (Numerical result out of range)
fgetxattr(fd=295, name=0x7f38639f8000, value=0x7f3865b07000, size=0) = -1 (Numerical result out of range)
fgetxattr(fd=295, name=0x0, value=0x0, size=0xfffffd) = -1 (Bad address)
fgetxattr(fd=69, name=0x4, value=0xc, size=8) = -1 (Bad address)
fgetxattr(fd=69, name=0x7f38639f8000, value=0x7f38639f8004, size=0) = -1 (Numerical result out of range)
fgetxattr(fd=69, name=0x8, value=0x8, size=0x949494) = -1 (Bad address)
fgetxattr(fd=69, name=0x7f3863ffd000, value=0x7f3863ffd008, size=4096) = -1 (Numerical result out of range)
fgetxattr(fd=17, name=0x7f419c457000, value=0x7f419c457000, size=0) = -1 (Numerical result out of range)
fgetxattr(fd=11, name=0x7f419c257000, value=0x7f419c257004, size=4096) = -1 (Numerical result out of range)
fgetxattr(fd=283, name=0x0, value=0x8, size=4096) = -1 (Bad address)
fgetxattr(fd=331, name=0x8, value=0x7f419c257000, size=8) = -1 (Bad address)
fgetxattr(fd=7, name=0x7f419c257000, value=0x7f419c857000, size=0x9494) = -1 (Numerical result out of range)
fgetxattr(fd=297, name=0x7f419e360000, value=0x7f419c257000, size=1) = -1 (Numerical result out of range)
fgetxattr(fd=410, name=0x7f419ca57000, value=0x7f419ca57004, size=50) = -1 (Numerical result out of range)
fgetxattr(fd=304, name=0x7f419c957000, value=0x7f419c957001, size=64) = -1 (Numerical result out of range)
fgetxattr(fd=324, name=0x4, value=0x4, size=260) = -1 (Bad address)
fgetxattr(fd=6, name=0x4, value=0x7f419c957000, size=0xd8d9) = -1 (Bad address)
