name_to_handle_at(fd=282, name=0x7fec14434000, handle=0x7fec12327000, mnt_id=0x7fec12327004, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=282, name=0x0, handle=0x8, mnt_id=0x7fec1232b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=282, name=0x8, handle=0x7fec1272b000, mnt_id=0x7fec1232a000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=14, name=0x0, handle=0x7fec12326000, mnt_id=0x7fec12326000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=14, name=0x7fec1232b000, handle=0x7fec12327000, mnt_id=0x0, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=14, name=0x0, handle=0x1, mnt_id=0x7fec14434000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=14, name=0x0, handle=0x7fec12a2b000, mnt_id=0x7fec12327000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=14, name=0x0, handle=0x8, mnt_id=0x7fec12329000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=360, name=0x7fec12327000, handle=0x7fec1252b000, mnt_id=0x7fec1292b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=360, name=0x7fec1292b000, handle=0x7fec1272b000, mnt_id=0x7fec1272b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=360, name=0x7fec12326000, handle=0x7fec12326000, mnt_id=0x7fec12326001, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=183, name=0x8, handle=0x9, mnt_id=0x7fec12a2b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=183, name=0x7fec14434000, handle=0x7fec14434000, mnt_id=0x7fec1272b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=183, name=0x7fec12326000, handle=0x7fec12326008, mnt_id=0x7fec1272b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=183, name=0x0, handle=0x1, mnt_id=0x7fec12a2b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=183, name=0x7fec12326000, handle=0x7fec1232b000, mnt_id=0x7fec1272b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
