mq_timedsend(mqdes=22, u_msg_ptr=0x1, msg_len=4, msg_prio=13042, u_abs_timeout=0x2) = -1 (Bad address)
mq_timedsend(mqdes=22, u_msg_ptr=0x0, msg_len=4096, msg_prio=22, u_abs_timeout=0x7f31aa7b7000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=24, u_msg_ptr=0x7f31ac2c1000, msg_len=211, msg_prio=512, u_abs_timeout=0x7f31aa1b3000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=24, u_msg_ptr=0x8, msg_len=255, msg_prio=25, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedsend(mqdes=289, u_msg_ptr=0x7f31aa9b7000, msg_len=4096, msg_prio=0x7729, u_abs_timeout=0x7f31aa9b7001) = -1 (Bad file descriptor)
mq_timedsend(mqdes=289, u_msg_ptr=0x7f31aa1b3000, msg_len=4096, msg_prio=2811, u_abs_timeout=0x7f31aa1b3000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=289, u_msg_ptr=0x8, msg_len=8, msg_prio=1027, u_abs_timeout=0x7f31aa8b7000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=289, u_msg_ptr=0x4, msg_len=4096, msg_prio=16384, u_abs_timeout=0x7f31aa1b2000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=289, u_msg_ptr=0x7f31aa9b7000, msg_len=253, msg_prio=16384, u_abs_timeout=0x7f31aa5b7000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=289, u_msg_ptr=0x0, msg_len=1, msg_prio=0, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedsend(mqdes=302, u_msg_ptr=0x4, msg_len=0, msg_prio=23, u_abs_timeout=0x8) = -1 (Bad address)
mq_timedsend(mqdes=302, u_msg_ptr=0x7f31aa1b7000, msg_len=4096, msg_prio=4096, u_abs_timeout=0x7f31aa8b7000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=302, u_msg_ptr=0x0, msg_len=4, msg_prio=8102, u_abs_timeout=0x8) = -1 (Bad address)
mq_timedsend(mqdes=302, u_msg_ptr=0x8, msg_len=6484, msg_prio=0x7ffc, u_abs_timeout=0xc) = -1 (Bad address)
mq_timedsend(mqdes=27, u_msg_ptr=0x7f31aa5b7000, msg_len=1, msg_prio=0x7272, u_abs_timeout=0x7f31aa5b7008) = -1 (Bad file descriptor)
mq_timedsend(mqdes=27, u_msg_ptr=0x1, msg_len=4, msg_prio=0, u_abs_timeout=0x2) = -1 (Bad address)
mq_timedsend(mqdes=27, u_msg_ptr=0x7f31aa5b7000, msg_len=12, msg_prio=0x7ff9, u_abs_timeout=0x7f31aa9b7000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=27, u_msg_ptr=0x8, msg_len=4096, msg_prio=15884, u_abs_timeout=0x7f31aa1b7000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=27, u_msg_ptr=0x7f31aa8b7000, msg_len=8, msg_prio=9984, u_abs_timeout=0x7f31aa8b7001) = -1 (Bad file descriptor)
